csk
A.B.Devilliers,SA,95,0,85,679,0,0,0,0,823,11,0,0,0,0,425,61.73
David Warner,AUS,97,0,80,677,0,0,0,0,774,13,0,0,0,0,450,52.08
J.J. Bumrah,IND,10,96,66,1,0,0,26,0,935,2,453,382,0,0,11,0.5
B.A. Stokes,ENG,88,74,85,282,0,0,1,0,271,10,198,126,0,0,235,28.2
Mujeeb Ur Rahman,AFG,10,92,75,1,0,0,17,0,685,2,423,372,0,0,5,0.5
L.Ngidi,SA,10,90,76,0,0,0,19,0,711,2,393,336,0,0,7,0.0
S.Iyer,IND,87,0,70,282,0,0,0,0,312,6,0,0,0,0,192,47.0
A.Markram,SA,85,0,75,178,0,0,0,0,203,1,0,0,0,0,143,178.0
S.S. Cottrell,WI,10,90,76,1,0,0,11,0,520,1,361,336,0,0,2,1.0
C.R. Woakes,ENG,45,82,80,7,0,0,9,0,367,3,417,330,0,0,21,2.33
babar azam,PAK,99,0,66,648,0,0,0,0,765,14,0,0,0,0,391,46.29
mi
A.Russell,WI,88,77,75,488,0,0,5,0,670,13,383,252,0,0,363,37.54
K.Rabada,IND,10,97,80,0,0,0,17,0,613,0,453,336,0,0,5,0
C.Gayle,WI,87,0,55,386,0,0,0,0,369,12,0,0,0,0,283,32.17
Lokesh Rahul,IND,92,0,75,384,0,0,0,0,332,14,0,0,0,0,296,27.43
J.Archer,ENG,18,93,75,1,0,0,17,0,647,2,395,336,0,0,11,0.5
B. Kumar,IND,10,83,70,0,0,0,7,0,291,1,328,252,0,0,1,0.0
T.G. Southee,NZ,25,88,77,1,0,0,8,0,278,1,367,252,0,0,7,1.0
Imad Wasim,PAK,40,86,70,7,0,0,12,0,364,3,368,252,0,0,32,2.33
N.Pooran,WI,84,0,80,319,0,0,0,0,248,8,0,0,0,0,310,39.88
M.Stoinis,AUS,75,70,80,93,0,0,0,0,27,5,0,0,0,0,109,18.6
Fakhar Zaman,PAK,82,0,66,287,0,0,0,0,251,7,0,0,0,0,253,41.0
dc
R.A. Jadeja,IND,77,88,99,169,0,0,13,0,652,4,378,297,0,0,153,42.25
steve smith,aus,99,0,80,749,0,0,0,0,867,15,0,0,0,0,481,49.93
Shikhar Dhawan,IND,85,0,75,436,0,0,0,0,435,10,0,0,0,0,337,43.6
S.L. Malinga,SL,10,92,66,0,0,0,28,0,993,0,504,394,0,0,0,0
Ross Taylor,NZ,87,0,70,532,0,0,0,0,544,14,0,0,0,0,380,38.0
Mohammad Nabi,AFG,64,88,72,38,0,0,17,0,623,3,367,294,0,0,56,12.67
M.Shami,IND,10,90,70,0,0,0,17,0,684,0,475,389,0,0,0,0
A. Zampa,AUS,10,87,77,0,0,0,15,0,579,0,361,294,0,0,0,0
S.Hope,WI,90,0,70,580,0,0,0,0,590,16,0,0,0,0,410,36.25
M.Ali,ENG,81,72,70,266,0,0,0,0,236,9,0,0,0,0,206,29.56
